date,model,variable,RGR,n_assets,perturbation_percentage
2024-03-01,ridge,log_mktcap,0.771458,407,0.05
2024-04-01,ridge,ret_1w,0.999994,407,0.05
2024-04-01,ridge,vol_3m,0.994095,407,0.05
2024-04-01,ridge,amihud,0.98381,407,0.05
2024-04-01,ridge,vol_ratio,0.982027,407,0.05
2024-04-01,ridge,vol_1m,0.976239,407,0.05
2024-04-01,ridge,ret_1m,0.970367,407,0.05
2024-04-01,ridge,ret_3m,0.963458,407,0.05
2024-04-01,ridge,ret_6m,0.956312,407,0.05
2024-04-01,ridge,ret_12m,0.931625,407,0.05
2024-04-01,ridge,log_mktcap,0.767663,407,0.05
2024-05-01,ridge,ret_1w,0.999992,407,0.05
2024-05-01,ridge,vol_3m,0.993375,407,0.05
2024-05-01,ridge,vol_ratio,0.98649,407,0.05
2024-05-01,ridge,amihud,0.982465,407,0.05
2024-05-01,ridge,ret_1m,0.98031,407,0.05
2024-05-01,ridge,vol_1m,0.979078,407,0.05
2024-05-01,ridge,ret_3m,0.96939,407,0.05
2024-05-01,ridge,ret_6m,0.944535,407,0.05
2024-05-01,ridge,ret_12m,0.930744,407,0.05
2024-05-01,ridge,log_mktcap,0.78377,407,0.05
2024-06-03,ridge,ret_1w,0.999415,407,0.05
2024-06-03,ridge,vol_3m,0.99071,407,0.05
2024-06-03,ridge,ret_1m,0.97844,407,0.05
2024-06-03,ridge,vol_ratio,0.978044,407,0.05
2024-06-03,ridge,amihud,0.97537,407,0.05
2024-06-03,ridge,ret_3m,0.967243,407,0.05
2024-06-03,ridge,vol_1m,0.964705,407,0.05
2024-06-03,ridge,ret_6m,0.958412,407,0.05
2024-06-03,ridge,ret_12m,0.931885,407,0.05
2024-06-03,ridge,log_mktcap,0.787226,407,0.05
2024-07-01,ridge,ret_1w,0.999983,407,0.05
2024-07-01,ridge,vol_3m,0.989344,407,0.05
2024-07-01,ridge,amihud,0.982257,407,0.05
2024-07-01,ridge,ret_1m,0.980419,407,0.05
2024-07-01,ridge,vol_ratio,0.975601,407,0.05
2024-07-01,ridge,vol_1m,0.961804,407,0.05
2024-07-01,ridge,ret_3m,0.961419,407,0.05
2024-07-01,ridge,ret_6m,0.955729,407,0.05
2024-07-01,ridge,ret_12m,0.944204,407,0.05
2024-07-01,ridge,log_mktcap,0.7673,407,0.05
2024-08-01,ridge,ret_1w,0.999976,407,0.05
2024-08-01,ridge,vol_3m,0.984974,407,0.05
2024-08-01,ridge,ret_1m,0.977745,407,0.05
2024-08-01,ridge,vol_ratio,0.975398,407,0.05
