date,model,variable,RGE,n_assets
2025-02-03,ridge,ret_1m,0.022005,407
2025-02-03,ridge,vol_3m,0.004501,407
2025-02-03,ridge,ret_1w,0.001768,407
2025-03-03,ridge,log_mktcap,0.379915,407
2025-03-03,ridge,ret_6m,0.062769,407
2025-03-03,ridge,vol_1m,0.042349,407
2025-03-03,ridge,amihud,0.027336,407
2025-03-03,ridge,vol_ratio,0.025745,407
2025-03-03,ridge,ret_3m,0.025153,407
2025-03-03,ridge,ret_1m,0.02297,407
2025-03-03,ridge,ret_12m,0.021434,407
2025-03-03,ridge,vol_3m,0.01068,407
2025-03-03,ridge,ret_1w,0.000417,407
2025-04-01,ridge,log_mktcap,0.490658,407
2025-04-01,ridge,vol_1m,0.059177,407
2025-04-01,ridge,ret_6m,0.044562,407
2025-04-01,ridge,vol_ratio,0.033392,407
2025-04-01,ridge,ret_12m,0.0279,407
2025-04-01,ridge,ret_3m,0.027721,407
2025-04-01,ridge,amihud,0.025295,407
2025-04-01,ridge,ret_1m,0.02328,407
2025-04-01,ridge,vol_3m,0.019171,407
2025-04-01,ridge,ret_1w,9.8e-05,407
2025-05-01,ridge,log_mktcap,0.571788,407
2025-05-01,ridge,vol_1m,0.064784,407
2025-05-01,ridge,ret_6m,0.053674,407
2025-05-01,ridge,vol_ratio,0.040289,407
2025-05-01,ridge,ret_3m,0.03717,407
2025-05-01,ridge,amihud,0.030289,407
2025-05-01,ridge,ret_12m,0.025979,407
2025-05-01,ridge,ret_1m,0.023785,407
2025-05-01,ridge,vol_3m,0.022151,407
2025-05-01,ridge,ret_1w,0.000242,407
2025-06-02,ridge,log_mktcap,0.510826,407
2025-06-02,ridge,vol_1m,0.069997,407
2025-06-02,ridge,ret_6m,0.069736,407
2025-06-02,ridge,ret_3m,0.063653,407
2025-06-02,ridge,amihud,0.037063,407
2025-06-02,ridge,vol_ratio,0.026898,407
2025-06-02,ridge,ret_12m,0.024187,407
2025-06-02,ridge,ret_1m,0.020275,407
2025-06-02,ridge,vol_3m,0.014484,407
2025-06-02,ridge,ret_1w,0.000164,407
2025-07-01,ridge,log_mktcap,0.539542,407
2025-07-01,ridge,vol_1m,0.068552,407
2025-07-01,ridge,ret_6m,0.055832,407
2025-07-01,ridge,ret_3m,0.053727,407
2025-07-01,ridge,amihud,0.03823,407
2025-07-01,ridge,vol_ratio,0.036693,407
2025-07-01,ridge,ret_12m,0.025369,407
2025-07-01,ridge,ret_1m,0.011534,407
2025-07-01,ridge,vol_3m,0.006468,407
2025-07-01,ridge,ret_1w,2.6e-05,407
2025-08-01,ridge,log_mktcap,0.502714,407
2025-08-01,ridge,ret_6m,0.0521,407
2025-08-01,ridge,vol_1m,0.048309,407
2025-08-01,ridge,ret_3m,0.040058,407
2025-08-01,ridge,amihud,0.03107,407
2025-08-01,ridge,vol_ratio,0.029776,407
2025-08-01,ridge,ret_12m,0.016498,407
2025-08-01,ridge,ret_1m,0.009136,407
2025-08-01,ridge,vol_3m,0.00074,407
2025-08-01,ridge,ret_1w,1e-06,407
2025-09-01,ridge,log_mktcap,0.513758,407
2025-09-01,ridge,ret_6m,0.041962,407
2025-09-01,ridge,vol_1m,0.040117,407
2025-09-01,ridge,amihud,0.029073,407
2025-09-01,ridge,vol_ratio,0.027254,407
2025-09-01,ridge,ret_3m,0.025298,407
2025-09-01,ridge,ret_12m,0.016499,407
2025-09-01,ridge,ret_1m,0.014881,407
2025-09-01,ridge,vol_3m,1.2e-05,407
2025-09-01,ridge,ret_1w,1e-06,407
2025-10-01,ridge,log_mktcap,0.406693,407
2025-10-01,ridge,ret_6m,0.041345,407
2025-10-01,ridge,amihud,0.025938,407
2025-10-01,ridge,vol_1m,0.02529,407
2025-10-01,ridge,ret_3m,0.020655,407
2025-10-01,ridge,vol_ratio,0.019319,407
2025-10-01,ridge,ret_1m,0.014178,407
2025-10-01,ridge,ret_12m,0.011127,407
2025-10-01,ridge,vol_3m,0.00023,407
2025-10-01,ridge,ret_1w,0.000132,407
2025-11-03,ridge,log_mktcap,0.491456,407
2025-11-03,ridge,ret_6m,0.05688,407
2025-11-03,ridge,vol_1m,0.038401,407
2025-11-03,ridge,amihud,0.02979,407
2025-11-03,ridge,ret_3m,0.0273,407
2025-11-03,ridge,vol_ratio,0.022478,407
2025-11-03,ridge,ret_12m,0.015804,407
2025-11-03,ridge,ret_1m,0.014141,407
2025-11-03,ridge,vol_3m,0.000377,407
2025-11-03,ridge,ret_1w,9.4e-05,407
2025-12-01,ridge,log_mktcap,0.481487,407
2025-12-01,ridge,ret_6m,0.055511,407
2025-12-01,ridge,vol_1m,0.041709,407
2025-12-01,ridge,amihud,0.030205,407
2025-12-01,ridge,vol_ratio,0.026522,407
2025-12-01,ridge,ret_3m,0.022568,407
2025-12-01,ridge,ret_1m,0.017656,407
2025-12-01,ridge,ret_12m,0.016788,407
2025-12-01,ridge,ret_1w,0.000156,407
2025-12-01,ridge,vol_3m,0.000117,407
2023-01-02,xgboost,log_mktcap,0.133254,407
2023-01-02,xgboost,ret_1m,0.07647,407
2023-01-02,xgboost,ret_12m,0.025529,407
2023-01-02,xgboost,vol_ratio,0.003679,407
