date,alpha,val_r2,model_path,scaler_path,bundle_path
2025-03-03,100.0,-0.008542,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-03-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-03-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-03-03.pkl
2025-04-01,100.0,-0.012175,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-04-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-04-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-04-01.pkl
2025-05-01,100.0,-0.012132,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-05-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-05-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-05-01.pkl
2025-06-02,100.0,-0.006338,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-06-02.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-06-02.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-06-02.pkl
2025-07-01,100.0,-0.006958,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-07-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-07-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-07-01.pkl
2025-08-01,100.0,-0.00945,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-08-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-08-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-08-01.pkl
2025-09-01,100.0,-0.008011,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-09-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-09-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-09-01.pkl
2025-10-01,100.0,-0.006229,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-10-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-10-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-10-01.pkl
2025-11-03,100.0,-0.005891,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-11-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-11-03.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-11-03.pkl
2025-12-01,100.0,-0.005747,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_model_2025-12-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_scaler_2025-12-01.pkl,C:\Users\anila\Desktop\tesi_SAFE_optimization\data\results\step5\ridge\models\ridge_bundle_2025-12-01.pkl
