model_family,configuration_id,configuration_parameters,compliance_score_arithmetic,compliance_score_geometric,compliance_score_rms,accuracy_score,robustness_score,fairness_score,explainability_score,sharpe,max_drawdown,avg_turnover,ann_return,ann_vol,sortino,calmar
xgboost,xgboost_50,"md=5,lr=0.15,ne=100,ss=1.0,cb=1.0,ra=0.0,rl=0.1",0.604778,0.505098,0.638631,0.447066,0.531243,0.817091,0.623713,1.540737,0.177454,0.902711,0.33031,0.214384,2.255835,1.861382
mlp,mlp_01,"layers=(32,),alpha=0.1,lr_init=0.001,bs=128",0.571698,0.465248,0.615444,0.438544,0.431728,0.802138,0.614383,0.755355,0.20466,0.838071,0.171459,0.226991,1.134314,0.837775
mlp,mlp_02,"layers=(256,),alpha=0.1,lr_init=0.0001,bs=256",0.60405,0.50343,0.638919,0.443017,0.533261,0.82872,0.611202,1.106007,0.198439,0.933609,0.203783,0.184251,1.683781,1.026929
mlp,mlp_03,"layers=(64,),alpha=0.0001,lr_init=0.001,bs=256",0.59925,0.498289,0.635164,0.443297,0.525495,0.830213,0.597993,0.540469,0.210668,0.944613,0.1061,0.196311,0.737484,0.503638
mlp,mlp_04,"layers=(128, 64),alpha=0.1,lr_init=0.001,bs=256",0.581835,0.477062,0.623407,0.44274,0.455525,0.814591,0.614482,1.719809,0.203776,0.830796,0.383237,0.222837,2.350429,1.880673
mlp,mlp_05,"layers=(64, 32),alpha=0.0001,lr_init=0.005,bs=128",0.588185,0.485948,0.627124,0.451581,0.479773,0.828944,0.592442,0.628989,0.211925,0.949178,0.125867,0.20011,0.90771,0.593924
mlp,mlp_06,"layers=(64, 32),alpha=0.001,lr_init=0.0001,bs=256",0.606933,0.506349,0.641326,0.449859,0.548374,0.839218,0.590279,0.496417,0.231718,0.955485,0.086517,0.174283,0.722548,0.373372
mlp,mlp_07,"layers=(256, 128),alpha=0.01,lr_init=0.0005,bs=256",0.600376,0.499906,0.635787,0.449399,0.515433,0.820132,0.61654,1.312117,0.241297,0.932623,0.250219,0.190699,1.753131,1.036975
mlp,mlp_08,"layers=(64, 32),alpha=0.001,lr_init=0.0005,bs=64",0.60356,0.502241,0.639424,0.450566,0.52693,0.839625,0.597119,0.771129,0.164957,0.94332,0.146353,0.189791,1.157301,0.887219
mlp,mlp_09,"layers=(32,),alpha=0.01,lr_init=0.005,bs=64",0.559655,0.447076,0.609489,0.444787,0.390806,0.814822,0.588204,0.706334,0.29483,0.821057,0.173325,0.245388,0.95196,0.587883
mlp,mlp_10,"layers=(256, 128),alpha=0.1,lr_init=0.0005,bs=128",0.565108,0.445984,0.617341,0.44033,0.384389,0.819401,0.616311,1.028415,0.199843,0.80929,0.248155,0.241299,1.439966,1.241749
mlp,mlp_10,"layers=(256, 128),alpha=0.1,lr_init=0.0005,bs=128",0.565108,0.445984,0.617341,0.44033,0.384389,0.819401,0.616311,1.028415,0.199843,0.80929,0.248155,0.241299,1.439966,1.241749
mlp,mlp_11,"layers=(64,),alpha=0.1,lr_init=0.001,bs=128",0.567894,0.45611,0.615914,0.443847,0.405861,0.818893,0.602973,1.069926,0.206644,0.845963,0.233559,0.218294,1.630308,1.130247
mlp,mlp_11,"layers=(64,),alpha=0.1,lr_init=0.001,bs=128",0.567894,0.45611,0.615914,0.443847,0.405861,0.818893,0.602973,1.069926,0.206644,0.845963,0.233559,0.218294,1.630308,1.130247
mlp,mlp_12,"layers=(32,),alpha=0.1,lr_init=0.0005,bs=256",0.601135,0.49927,0.637728,0.441887,0.51036,0.81877,0.633521,1.068813,0.25572,0.917516,0.226903,0.212294,1.406053,0.887307
