date,model,model_date,k_removed,n_removed_features,fraction_features_removed,removed_features,RGE_star,n_assets
2023-06-01,ridge,2023-06-01,10,10,1.0,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2023-07-03,ridge,2023-07-03,0,0,0.0,,1.0,407
2023-07-03,ridge,2023-07-03,1,1,0.1,ret_1w,0.999595,407
2023-07-03,ridge,2023-07-03,2,2,0.2,ret_1w;vol_3m,0.997227,407
2023-07-03,ridge,2023-07-03,3,3,0.3,ret_1w;vol_3m;ret_3m,0.988856,407
2023-07-03,ridge,2023-07-03,4,4,0.4,ret_1w;vol_3m;ret_3m;vol_1m,0.985945,407
2023-07-03,ridge,2023-07-03,5,5,0.5,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio,0.988508,407
2023-07-03,ridge,2023-07-03,6,6,0.6,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m,0.935216,407
2023-07-03,ridge,2023-07-03,7,7,0.7,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud,0.87594,407
2023-07-03,ridge,2023-07-03,8,8,0.8,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m,0.879321,407
2023-07-03,ridge,2023-07-03,9,9,0.9,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m,0.835402,407
2023-07-03,ridge,2023-07-03,10,10,1.0,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2023-08-01,ridge,2023-08-01,0,0,0.0,,1.0,407
2023-08-01,ridge,2023-08-01,1,1,0.1,ret_1w,0.999134,407
2023-08-01,ridge,2023-08-01,2,2,0.2,ret_1w;vol_3m,0.994988,407
2023-08-01,ridge,2023-08-01,3,3,0.3,ret_1w;vol_3m;ret_3m,0.982896,407
2023-08-01,ridge,2023-08-01,4,4,0.4,ret_1w;vol_3m;ret_3m;vol_ratio,0.966838,407
2023-08-01,ridge,2023-08-01,5,5,0.5,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m,0.989977,407
2023-08-01,ridge,2023-08-01,6,6,0.6,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m,0.94102,407
2023-08-01,ridge,2023-08-01,7,7,0.7,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud,0.892064,407
2023-08-01,ridge,2023-08-01,8,8,0.8,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m,0.856236,407
2023-08-01,ridge,2023-08-01,9,9,0.9,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m;ret_12m,0.855214,407
2023-08-01,ridge,2023-08-01,10,10,1.0,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2023-09-01,ridge,2023-09-01,0,0,0.0,,1.0,407
2023-09-01,ridge,2023-09-01,1,1,0.1,ret_1w,0.998826,407
2023-09-01,ridge,2023-09-01,2,2,0.2,ret_1w;vol_3m,0.993073,407
2023-09-01,ridge,2023-09-01,3,3,0.3,ret_1w;vol_3m;ret_3m,0.982633,407
2023-09-01,ridge,2023-09-01,4,4,0.4,ret_1w;vol_3m;ret_3m;vol_ratio,0.962765,407
2023-09-01,ridge,2023-09-01,5,5,0.5,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m,0.988011,407
2023-09-01,ridge,2023-09-01,6,6,0.6,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;amihud,0.943496,407
2023-09-01,ridge,2023-09-01,7,7,0.7,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;amihud;ret_1m,0.891895,407
2023-09-01,ridge,2023-09-01,8,8,0.8,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;amihud;ret_1m;ret_6m,0.906212,407
2023-09-01,ridge,2023-09-01,9,9,0.9,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;amihud;ret_1m;ret_6m;ret_12m,0.857554,407
2023-09-01,ridge,2023-09-01,10,10,1.0,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;amihud;ret_1m;ret_6m;ret_12m;log_mktcap,0.5,407
2023-10-02,ridge,2023-10-02,0,0,0.0,,1.0,407
2023-10-02,ridge,2023-10-02,1,1,0.1,ret_1w,0.999802,407
2023-10-02,ridge,2023-10-02,2,2,0.2,ret_1w;vol_3m,0.992858,407
2023-10-02,ridge,2023-10-02,3,3,0.3,ret_1w;vol_3m;ret_3m,0.983232,407
2023-10-02,ridge,2023-10-02,4,4,0.4,ret_1w;vol_3m;ret_3m;vol_ratio,0.97064,407
2023-10-02,ridge,2023-10-02,5,5,0.5,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m,0.984237,407
2023-10-02,ridge,2023-10-02,6,6,0.6,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m,0.913828,407
2023-10-02,ridge,2023-10-02,7,7,0.7,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud,0.901332,407
2023-10-02,ridge,2023-10-02,8,8,0.8,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m,0.900969,407
2023-10-02,ridge,2023-10-02,9,9,0.9,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m;ret_12m,0.885892,407
2023-10-02,ridge,2023-10-02,10,10,1.0,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2023-11-01,ridge,2023-11-01,0,0,0.0,,1.0,407
2023-11-01,ridge,2023-11-01,1,1,0.1,ret_1w,0.999846,407
2023-11-01,ridge,2023-11-01,2,2,0.2,ret_1w;vol_3m,0.992504,407
2023-11-01,ridge,2023-11-01,3,3,0.3,ret_1w;vol_3m;ret_3m,0.987276,407
2023-11-01,ridge,2023-11-01,4,4,0.4,ret_1w;vol_3m;ret_3m;vol_ratio,0.973935,407
2023-11-01,ridge,2023-11-01,5,5,0.5,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m,0.988034,407
2023-11-01,ridge,2023-11-01,6,6,0.6,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m,0.938924,407
2023-11-01,ridge,2023-11-01,7,7,0.7,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud,0.908074,407
2023-11-01,ridge,2023-11-01,8,8,0.8,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m,0.902719,407
2023-11-01,ridge,2023-11-01,9,9,0.9,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m;ret_12m,0.864876,407
2023-11-01,ridge,2023-11-01,10,10,1.0,ret_1w;vol_3m;ret_3m;vol_ratio;vol_1m;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2023-12-01,ridge,2023-12-01,0,0,0.0,,1.0,407
2023-12-01,ridge,2023-12-01,1,1,0.1,ret_1w,0.999932,407
2023-12-01,ridge,2023-12-01,2,2,0.2,ret_1w;vol_3m,0.992525,407
2023-12-01,ridge,2023-12-01,3,3,0.3,ret_1w;vol_3m;vol_ratio,0.974976,407
2023-12-01,ridge,2023-12-01,4,4,0.4,ret_1w;vol_3m;vol_ratio;ret_3m,0.962263,407
2023-12-01,ridge,2023-12-01,5,5,0.5,ret_1w;vol_3m;vol_ratio;ret_3m;vol_1m,0.976105,407
2023-12-01,ridge,2023-12-01,6,6,0.6,ret_1w;vol_3m;vol_ratio;ret_3m;vol_1m;ret_1m,0.92097,407
2023-12-01,ridge,2023-12-01,7,7,0.7,ret_1w;vol_3m;vol_ratio;ret_3m;vol_1m;ret_1m;amihud,0.881363,407
2023-12-01,ridge,2023-12-01,8,8,0.8,ret_1w;vol_3m;vol_ratio;ret_3m;vol_1m;ret_1m;amihud;ret_6m,0.876921,407
2023-12-01,ridge,2023-12-01,9,9,0.9,ret_1w;vol_3m;vol_ratio;ret_3m;vol_1m;ret_1m;amihud;ret_6m;ret_12m,0.858379,407
2023-12-01,ridge,2023-12-01,10,10,1.0,ret_1w;vol_3m;vol_ratio;ret_3m;vol_1m;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2024-01-01,ridge,2024-01-01,0,0,0.0,,1.0,407
2024-01-01,ridge,2024-01-01,1,1,0.1,ret_1w,0.9999,407
2024-01-01,ridge,2024-01-01,2,2,0.2,ret_1w;vol_3m,0.996996,407
2024-01-01,ridge,2024-01-01,3,3,0.3,ret_1w;vol_3m;vol_ratio,0.985468,407
2024-01-01,ridge,2024-01-01,4,4,0.4,ret_1w;vol_3m;vol_ratio;ret_1m,0.95984,407
2024-01-01,ridge,2024-01-01,5,5,0.5,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m,0.983352,407
2024-01-01,ridge,2024-01-01,6,6,0.6,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m,0.926981,407
2024-01-01,ridge,2024-01-01,7,7,0.7,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud,0.894683,407
2024-01-01,ridge,2024-01-01,8,8,0.8,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud;ret_6m,0.884284,407
2024-01-01,ridge,2024-01-01,9,9,0.9,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud;ret_6m;ret_12m,0.851796,407
2024-01-01,ridge,2024-01-01,10,10,1.0,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2024-02-01,ridge,2024-02-01,0,0,0.0,,1.0,407
2024-02-01,ridge,2024-02-01,1,1,0.1,ret_1w,0.999996,407
2024-02-01,ridge,2024-02-01,2,2,0.2,ret_1w;vol_3m,0.995981,407
2024-02-01,ridge,2024-02-01,3,3,0.3,ret_1w;vol_3m;vol_ratio,0.982434,407
2024-02-01,ridge,2024-02-01,4,4,0.4,ret_1w;vol_3m;vol_ratio;vol_1m,0.996112,407
2024-02-01,ridge,2024-02-01,5,5,0.5,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m,0.966881,407
2024-02-01,ridge,2024-02-01,6,6,0.6,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m,0.897778,407
2024-02-01,ridge,2024-02-01,7,7,0.7,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud,0.886203,407
2024-02-01,ridge,2024-02-01,8,8,0.8,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_6m,0.917926,407
2024-02-01,ridge,2024-02-01,9,9,0.9,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_6m;ret_12m,0.873863,407
2024-02-01,ridge,2024-02-01,10,10,1.0,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
