date,model,k_removed,n_removed_segments,fraction_data_removed,RGA,random_RGA,n_assets_full,n_assets_remaining
2024-01-01,ridge,3,3,0.3,0.427056,0.454882,407,284
2024-01-01,ridge,4,4,0.4,0.416951,0.455921,407,243
2024-01-01,ridge,5,5,0.5,0.455973,0.462234,407,202
2024-01-01,ridge,6,6,0.6,0.428924,0.447138,407,161
2024-01-01,ridge,7,7,0.7,0.450183,0.432479,407,120
2024-01-01,ridge,8,8,0.8,0.510011,0.452882,407,80
2024-01-01,ridge,9,9,0.9,0.566172,0.540581,407,40
2024-01-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-02-01,ridge,0,0,0.0,0.44763,0.50227,407,407
2024-02-01,ridge,1,1,0.1,0.448475,0.526299,407,366
2024-02-01,ridge,2,2,0.2,0.448327,0.54882,407,325
2024-02-01,ridge,3,3,0.3,0.493568,0.554942,407,284
2024-02-01,ridge,4,4,0.4,0.482508,0.568464,407,243
2024-02-01,ridge,5,5,0.5,0.450405,0.577552,407,202
2024-02-01,ridge,6,6,0.6,0.464925,0.558026,407,161
2024-02-01,ridge,7,7,0.7,0.436381,0.548254,407,120
2024-02-01,ridge,8,8,0.8,0.383159,0.589166,407,80
2024-02-01,ridge,9,9,0.9,0.529639,0.515715,407,40
2024-02-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-03-01,ridge,0,0,0.0,0.578813,0.519617,407,407
2024-03-01,ridge,1,1,0.1,0.580848,0.520162,407,366
2024-03-01,ridge,2,2,0.2,0.581985,0.505644,407,325
2024-03-01,ridge,3,3,0.3,0.590339,0.525767,407,284
2024-03-01,ridge,4,4,0.4,0.595943,0.507401,407,243
2024-03-01,ridge,5,5,0.5,0.648853,0.502744,407,202
2024-03-01,ridge,6,6,0.6,0.64154,0.514657,407,161
2024-03-01,ridge,7,7,0.7,0.580186,0.539337,407,120
2024-03-01,ridge,8,8,0.8,0.498684,0.564917,407,80
2024-03-01,ridge,9,9,0.9,0.361403,0.7276,407,40
2024-03-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-04-01,ridge,0,0,0.0,0.488734,0.503387,407,407
2024-04-01,ridge,1,1,0.1,0.518998,0.514151,407,366
2024-04-01,ridge,2,2,0.2,0.530458,0.509124,407,325
2024-04-01,ridge,3,3,0.3,0.545314,0.489119,407,284
2024-04-01,ridge,4,4,0.4,0.532422,0.507797,407,243
2024-04-01,ridge,5,5,0.5,0.524842,0.526566,407,202
2024-04-01,ridge,6,6,0.6,0.509291,0.54484,407,161
2024-04-01,ridge,7,7,0.7,0.494244,0.551852,407,120
2024-04-01,ridge,8,8,0.8,0.453798,0.545798,407,80
2024-04-01,ridge,9,9,0.9,0.593392,0.413003,407,40
2024-04-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-05-01,ridge,0,0,0.0,0.457457,0.519938,407,407
2024-05-01,ridge,1,1,0.1,0.447457,0.536011,407,366
2024-05-01,ridge,2,2,0.2,0.460035,0.53373,407,325
2024-05-01,ridge,3,3,0.3,0.463037,0.556156,407,284
2024-05-01,ridge,4,4,0.4,0.45294,0.557795,407,243
2024-05-01,ridge,5,5,0.5,0.448021,0.549386,407,202
2024-05-01,ridge,6,6,0.6,0.477706,0.581731,407,161
2024-05-01,ridge,7,7,0.7,0.470412,0.563983,407,120
2024-05-01,ridge,8,8,0.8,0.570234,0.599738,407,80
2024-05-01,ridge,9,9,0.9,0.591823,0.618127,407,40
2024-05-01,ridge,10,10,1.0,0.0,0.0,407,0
2024-06-03,ridge,0,0,0.0,0.403259,0.517778,407,407
