date,model,group,perturbation_percentage,RGR,n_assets,model_date
2024-02-01,ridge,all_features,0.15,0.416937,407,2024-02-01
2024-02-01,ridge,all_features,0.2,0.294635,407,2024-02-01
2024-02-01,ridge,all_features,0.25,0.212823,407,2024-02-01
2024-02-01,ridge,all_features,0.3,0.136398,407,2024-02-01
2024-02-01,ridge,all_features,0.35,0.063665,407,2024-02-01
2024-02-01,ridge,all_features,0.4,0.021098,407,2024-02-01
2024-02-01,ridge,all_features,0.45,0.003142,407,2024-02-01
2024-02-01,ridge,all_features,0.5,0.0,407,2024-02-01
2024-03-01,ridge,all_features,0.0,1.0,407,2024-03-01
2024-03-01,ridge,all_features,0.05,0.719459,407,2024-03-01
2024-03-01,ridge,all_features,0.1,0.525341,407,2024-03-01
2024-03-01,ridge,all_features,0.15,0.383972,407,2024-03-01
2024-03-01,ridge,all_features,0.2,0.286916,407,2024-03-01
2024-03-01,ridge,all_features,0.25,0.209554,407,2024-03-01
2024-03-01,ridge,all_features,0.3,0.138193,407,2024-03-01
2024-03-01,ridge,all_features,0.35,0.069466,407,2024-03-01
2024-03-01,ridge,all_features,0.4,0.025675,407,2024-03-01
2024-03-01,ridge,all_features,0.45,0.003435,407,2024-03-01
2024-03-01,ridge,all_features,0.5,0.0,407,2024-03-01
2024-04-01,ridge,all_features,0.0,1.0,407,2024-04-01
2024-04-01,ridge,all_features,0.05,0.72005,407,2024-04-01
2024-04-01,ridge,all_features,0.1,0.553402,407,2024-04-01
2024-04-01,ridge,all_features,0.15,0.418614,407,2024-04-01
2024-04-01,ridge,all_features,0.2,0.321665,407,2024-04-01
2024-04-01,ridge,all_features,0.25,0.231183,407,2024-04-01
2024-04-01,ridge,all_features,0.3,0.144414,407,2024-04-01
2024-04-01,ridge,all_features,0.35,0.069506,407,2024-04-01
2024-04-01,ridge,all_features,0.4,0.02734,407,2024-04-01
2024-04-01,ridge,all_features,0.45,0.003248,407,2024-04-01
2024-04-01,ridge,all_features,0.5,0.0,407,2024-04-01
2024-05-01,ridge,all_features,0.0,1.0,407,2024-05-01
2024-05-01,ridge,all_features,0.05,0.739031,407,2024-05-01
2024-05-01,ridge,all_features,0.1,0.569836,407,2024-05-01
2024-05-01,ridge,all_features,0.15,0.43342,407,2024-05-01
2024-05-01,ridge,all_features,0.2,0.321068,407,2024-05-01
2024-05-01,ridge,all_features,0.25,0.214813,407,2024-05-01
2024-05-01,ridge,all_features,0.3,0.140984,407,2024-05-01
2024-05-01,ridge,all_features,0.35,0.06964,407,2024-05-01
2024-05-01,ridge,all_features,0.4,0.023767,407,2024-05-01
2024-05-01,ridge,all_features,0.45,0.003539,407,2024-05-01
2024-05-01,ridge,all_features,0.5,0.0,407,2024-05-01
2024-06-03,ridge,all_features,0.0,1.0,407,2024-06-03
2024-06-03,ridge,all_features,0.05,0.727818,407,2024-06-03
2024-06-03,ridge,all_features,0.1,0.583688,407,2024-06-03
2024-06-03,ridge,all_features,0.15,0.461688,407,2024-06-03
2024-06-03,ridge,all_features,0.2,0.321377,407,2024-06-03
2024-06-03,ridge,all_features,0.25,0.229248,407,2024-06-03
2024-06-03,ridge,all_features,0.3,0.139143,407,2024-06-03
2024-06-03,ridge,all_features,0.35,0.078706,407,2024-06-03
2024-06-03,ridge,all_features,0.4,0.027587,407,2024-06-03
